iter	Logloss
0	0.6533787842
1	0.6140313721
2	0.5896705933
3	0.569322998
4	0.5464697266
5	0.5303376465
6	0.519671875
7	0.5076365662
8	0.4956593018
9	0.4847870483
10	0.4782036743
11	0.4628580017
12	0.4569579468
13	0.4492649536
14	0.4434206848
15	0.4383369446
16	0.4333070679
17	0.4294612427
18	0.4257162781
19	0.4220977783
20	0.4188434753
21	0.4145935364
22	0.4096265259
23	0.4059081421
24	0.4000104675
25	0.3967442932
26	0.3938310242
27	0.3906226807
28	0.3881082153
29	0.3844614258
30	0.3818876953
31	0.3799736023
32	0.3775362549
33	0.3754689026
34	0.372548645
35	0.3700837402
36	0.3685190125
37	0.366116272
38	0.363942627
39	0.362251709
40	0.360394165
41	0.3580513306
42	0.3563882446
43	0.3543741455
44	0.3503390503
45	0.3471875
46	0.344725647
47	0.3432189941
48	0.3418703003
49	0.3402252197
50	0.3373451233
51	0.3358851318
52	0.3342263184
53	0.3323143005
54	0.3306080322
55	0.3292799072
56	0.3271281128
57	0.3256450195
58	0.3247371826
59	0.3237677002
60	0.3219532166
61	0.3208076172
62	0.3187570496
63	0.3171500854
64	0.3160633545
65	0.3143022461
66	0.3133796387
67	0.3115857544
68	0.3099199829
69	0.3063557129
70	0.3050597534
71	0.3039898071
72	0.3026138306
73	0.3013813477
74	0.3001775208
75	0.2985765991
76	0.2973133545
77	0.2949312744
78	0.2939175415
79	0.2923110352
80	0.2905464478
81	0.2887520752
82	0.2872164001
83	0.2861237183
84	0.2846318359
85	0.2836855164
86	0.2826009216
87	0.2811972046
88	0.2802313843
89	0.2789266968
90	0.2774641724
91	0.2761134644
92	0.2749287415
93	0.2732379761
94	0.271973877
95	0.2706253662
96	0.2691309204
97	0.2681465454
98	0.2668006897
99	0.2657931519
100	0.2647226868
101	0.2636816101
102	0.2626758423
103	0.2616703491
104	0.2609346313
105	0.2598012085
106	0.2586174622
107	0.2559819794
108	0.2546766815
109	0.2537731018
110	0.2528482819
111	0.2518491669
112	0.2509333496
113	0.2501297302
114	0.2488429565
115	0.2481399231
116	0.2476799316
117	0.247221817
118	0.2462662354
119	0.2455003204
120	0.2447639465
121	0.2438535156
122	0.242443512
123	0.2415000305
124	0.2407190247
125	0.2398999634
126	0.2392630157
127	0.2389020691
128	0.238103302
129	0.2371431427
130	0.2362982941
131	0.2355402069
132	0.2347642212
133	0.2343097839
134	0.2332868347
135	0.2326658783
136	0.2319699249
137	0.2310593414
138	0.2304420776
139	0.2294803009
140	0.2288983612
141	0.2280979004
142	0.2276872253
143	0.2273957825
144	0.2264347534
145	0.2256647949
146	0.2246438599
147	0.2241431885
148	0.2238978882
149	0.2233429718
150	0.2226293793
151	0.2216211395
152	0.2208645935
153	0.2200731812
154	0.2188135071
155	0.2182855225
156	0.2178690491
157	0.2170055847
158	0.2162676849
159	0.2154980927
160	0.214566803
161	0.2138646698
162	0.2129392548
163	0.2121089172
164	0.2113691101
165	0.2104984589
166	0.210262207
167	0.2098940125
168	0.2094014893
169	0.208765625
170	0.2083107758
171	0.2081325378
172	0.2079612732
173	0.2073320618
174	0.2069252014
175	0.2064517822
176	0.2056573639
177	0.2055031891
178	0.2048244324
179	0.2045892639
180	0.2038363647
181	0.203295105
182	0.203144989
183	0.2024376221
184	0.2020227966
185	0.2013970642
186	0.20114151
187	0.2003768311
188	0.1997447662
189	0.1976524506
190	0.1975066681
191	0.1970158081
192	0.1965374146
193	0.1963923645
194	0.1959970398
195	0.1950797729
196	0.1946582489
197	0.1938491211
198	0.1932509766
199	0.192776947
200	0.1921927185
201	0.1912986145
202	0.1911502686
203	0.1908780975
204	0.1902286682
205	0.1901032562
206	0.1896484528
207	0.1889744415
208	0.1885106354
209	0.1880206299
210	0.1878950195
211	0.1872046661
212	0.1867705994
213	0.186294342
214	0.1858806458
215	0.1853531036
216	0.1847216644
217	0.1840931396
218	0.183356842
219	0.1828310089
220	0.1826806335
221	0.1821619263
222	0.1820372925
223	0.1815909882
224	0.1813024597
225	0.180901886
226	0.1805487366
227	0.1804335175
228	0.1801883392
229	0.1797774048
230	0.1794793854
231	0.1793678589
232	0.178899231
233	0.1778878021
234	0.1775627441
235	0.1768707275
236	0.1765040588
237	0.1761004944
238	0.1759011841
239	0.1756051025
240	0.1747731628
241	0.1739341736
242	0.1736090698
243	0.1732600708
244	0.172992981
245	0.172378418
246	0.1720901337
247	0.1719309998
248	0.1718244324
249	0.1717202454
250	0.1711573181
251	0.1706967773
252	0.170091156
253	0.169659256
254	0.1691354065
255	0.1686639099
256	0.1684954987
257	0.1683944092
258	0.1682158966
259	0.1675624542
260	0.1672958374
261	0.1671576233
262	0.1670002747
263	0.1667060852
264	0.166469635
265	0.1660513
266	0.165958252
267	0.1657529907
268	0.1654578094
269	0.1653659668
270	0.1650613098
271	0.164764267
272	0.164387207
273	0.1642342682
274	0.1638623047
275	0.1635428467
276	0.1634584045
277	0.163175766
278	0.1627239685
279	0.1626371155
280	0.1620961151
281	0.16135672
282	0.1607611389
283	0.1602281647
284	0.1598748322
285	0.1595167847
286	0.159185318
287	0.1586639862
288	0.1585777283
289	0.1581923523
290	0.1580905762
291	0.1576731873
292	0.1573132324
293	0.1571763611
294	0.1567802429
295	0.1564125824
296	0.1563310699
297	0.1559616547
298	0.1556581726
