iter	Passed	Remaining
0	14	4409
1	29	4365
2	40	3992
3	52	3879
4	63	3724
5	74	3619
6	86	3613
7	98	3567
8	111	3579
9	122	3536
10	133	3483
11	145	3479
12	154	3402
13	164	3358
14	174	3296
15	185	3274
16	194	3227
17	204	3197
18	216	3185
19	226	3159
20	237	3138
21	248	3123
22	258	3105
23	269	3091
24	281	3079
25	290	3046
26	299	3019
27	308	2989
28	318	2962
29	327	2936
30	336	2912
31	348	2910
32	359	2896
33	368	2870
34	379	2863
35	391	2857
36	402	2846
37	414	2845
38	425	2835
39	434	2813
40	445	2803
41	454	2781
42	463	2762
43	476	2763
44	486	2747
45	502	2764
46	513	2753
47	523	2736
48	533	2720
49	544	2713
50	557	2713
51	567	2694
52	578	2682
53	588	2669
54	599	2658
55	613	2663
56	627	2664
57	637	2650
58	649	2640
59	658	2624
60	668	2609
61	680	2600
62	692	2593
63	701	2576
64	712	2563
65	722	2550
66	734	2542
67	745	2533
68	757	2524
69	766	2507
70	777	2497
71	788	2486
72	799	2473
73	810	2463
74	820	2450
75	831	2438
76	843	2432
77	855	2422
78	868	2418
79	882	2414
80	896	2412
81	909	2406
82	920	2395
83	931	2385
84	943	2376
85	955	2366
86	964	2351
87	976	2340
88	986	2328
89	997	2315
90	1009	2306
91	1020	2296
92	1031	2283
93	1042	2272
94	1052	2260
95	1062	2246
96	1074	2237
97	1086	2228
98	1097	2216
99	1108	2206
100	1118	2192
101	1127	2178
102	1141	2171
103	1152	2161
104	1161	2146
105	1172	2135
106	1183	2123
107	1193	2111
108	1204	2099
109	1214	2086
110	1225	2075
111	1236	2064
112	1246	2051
113	1256	2038
114	1268	2028
115	1277	2014
116	1288	2003
117	1297	1990
118	1308	1979
119	1322	1972
120	1335	1964
121	1347	1954
122	1358	1943
123	1369	1932
124	1379	1919
125	1388	1907
126	1400	1896
127	1410	1883
128	1421	1873
129	1432	1862
130	1443	1850
131	1453	1839
132	1464	1827
133	1474	1816
134	1485	1804
135	1494	1791
136	1504	1779
137	1514	1767
138	1527	1758
139	1538	1747
140	1549	1736
141	1561	1725
142	1572	1715
143	1582	1703
144	1593	1692
145	1604	1681
146	1615	1670
147	1625	1658
148	1636	1647
149	1647	1636
150	1659	1626
151	1670	1615
152	1681	1604
153	1690	1591
154	1701	1580
155	1710	1567
156	1720	1555
157	1733	1547
158	1743	1535
159	1752	1522
160	1762	1510
161	1773	1499
162	1783	1488
163	1795	1478
164	1805	1466
165	1815	1454
166	1824	1442
167	1834	1430
168	1844	1418
169	1854	1406
170	1864	1395
171	1873	1383
172	1884	1372
173	1894	1361
174	1904	1349
175	1913	1337
176	1923	1325
177	1937	1316
178	1947	1305
179	1956	1293
180	1967	1282
181	1979	1272
182	1990	1261
183	2006	1253
184	2018	1243
185	2031	1234
186	2040	1222
187	2050	1210
188	2061	1199
189	2072	1188
190	2082	1177
191	2093	1166
192	2103	1155
193	2115	1144
194	2125	1133
195	2135	1122
196	2144	1110
197	2153	1098
198	2164	1087
199	2174	1076
200	2183	1064
201	2193	1053
202	2202	1041
203	2213	1030
204	2223	1019
205	2232	1007
206	2242	996
207	2251	985
208	2261	974
209	2271	962
210	2281	951
211	2291	940
212	2300	929
213	2313	919
214	2323	907
215	2334	896
216	2346	886
217	2355	875
218	2365	863
219	2374	852
220	2383	841
221	2393	830
222	2402	818
223	2412	807
224	2421	796
225	2432	785
226	2442	774
227	2451	763
228	2460	752
229	2472	741
230	2483	730
231	2494	720
232	2504	709
233	2515	698
234	2526	687
235	2535	676
236	2545	665
237	2555	654
238	2564	643
239	2574	632
240	2582	621
241	2592	610
242	2601	599
243	2612	588
244	2623	578
245	2635	567
246	2645	557
247	2655	546
248	2666	535
249	2676	524
250	2687	513
251	2698	503
252	2711	492
253	2721	482
254	2732	471
255	2742	460
256	2752	449
257	2762	438
258	2772	428
259	2780	417
260	2790	406
261	2800	395
262	2810	384
263	2821	374
264	2833	363
265	2843	352
266	2852	341
267	2862	331
268	2873	320
269	2881	309
270	2892	298
271	2906	288
272	2919	278
273	2931	267
274	2945	257
275	2958	246
276	2969	235
277	2978	225
278	2989	214
279	3001	203
280	3013	193
281	3024	182
282	3035	171
283	3044	160
284	3054	150
285	3064	139
286	3074	128
287	3084	117
288	3093	107
289	3104	96
290	3114	85
291	3123	74
292	3134	64
293	3142	53
294	3152	42
295	3162	32
296	3172	21
297	3181	10
298	3190	0
